id,cross_direction
BXD149_0341,BxD
BXD178_0342,BxD
BXD202_0343,BxD
BXD29_Ty_0344,BxD
BXD029_Tlr4_J_0345,BxD
BXD098_RwwJ_0345,BxD
BXD028_TyJ_0346,BxD
BXD024_TyJ_0347,BxD
BXD24_TyJ_Cep290_J_0348,BxD
BXD55_RwwJ_0349,BxD
BXD22_TyJ_0350,BxD
BXD201_0351,BxD
BXD144_0352,BxD
BXD180_0353,BxD
BXD199_0354,BxD
BXD152_0355,BxD
BXD034_TyJ_0356,BxD
BXD156_0357,BxD
BXD40_TyJ_0358,BxD
BXD211_0359,BxD
BXD227_0360,BxD
BXD001_TyJ_0361,BxD
BXD155_0362,BxD
BXD44_RwwJ_0363,BxD
BXD031_TyJ_0364,BxD
BXD113_RwwJ_0365,BxD
BXD196_0366,BxD
BXD131_0367,BxD
BXD011_TyJ_0368,BxD
BXD036_TyJ_0369,BxD
BXD205_0370,BxD
BXD225_0371,BxD
BXD008_TyJ_0372,BxD
BXD150_0373,BxD
BXD154_RwwJ_0374,BxD
BXD221_0375,BxD
BXD224_0376,BxD
BXD62_RwwJ_0377,BxD
BXD70_RwwJ_0378,BxD
BXD77_RwwJ_0379,BxD
BXD172_0380,BxD
BXD48_RwwJ_0381,BxD
BXD048a_RwwJ_0382,BxD
BXD009_TyJ_0383,BxD
BXD174_0385,BxD
BXD65_RwwJ_0386,BxD
BXD65a_RwwJ_0387,BxD
BXD65b_RwwJ_0388,BxD
BXD5_TyJ_0389,BxD
BXD218_0390,BxD
BXD157_0391,BxD
BXD15_TyJ_0392,BxD
BXD016_TyJ_0393,BxD
BXD162_0394,BxD
BXD090_RwwJ_0395,BxD
BXD219_0396,BxD
BXD049_RwwJ_0397,BxD
BXD191_0398,BxD
BXD63_RwwJ_0399,BxD
BXD69_RwwJ_0400,BxD
BXD127_0401,BxD
BXD173_0402,BxD
BXD086_RwwJ_0403,BxD
BXD222_0404,BxD
BXD210_0405,BxD
BXD102_RwwJ_0406,BxD
BXD20_TyJ_0407,BxD
BXD051_RwwJ_0408,BxD
BXD195_0409,BxD
BXD013_TyJ_0410,BxD
BXD223_0411,BxD
BXD190_0412,BxD
BXD89_RwwJ_0413,BxD
BXD91_RwwJ_0414,BxD
BXD032_TyJ_0415,BxD
BXD186_0416,BxD
BXD148_0417,BxD
BXD137_0418,BxD
BXD050_RwwJ_0419,BxD
BXD78_2_RwwJ_0420,BxD
BXD056_RwwJ_0421,BxD
BXD198_0422,BxD
BXD75_RwwJ_0423,BxD
BXD111_0424,BxD
BXD187_0425,BxD
BXD169_0426,BxD
BXD160_0427,BxD
BXD176_0428,BxD
BXD85_RwwJ_0429,BxD
BXD002_RwwJ_0430,BxD
BXD123_0431,BxD
BXD21_TyJ_0432,BxD
BXD71_RwwJ_0433,BxD
BXD183_0434,BxD
BXD84_RwwJ_0435,BxD
BXD99_RwwJ_0436,BxD
BXD170_0437,BxD
BXD073_RwwJ_0438,BxD
BXD73a_RwwJ_0439,BxD
BXD073b_RwwJ_0440,BxD
BXD181_0441,BxD
BXD66_RwwJ_0442,BxD
BXD216_0443,BxD
BXD79_RwwJ_0444,BxD
BXD095_RwwJ_0445,BxD
BXD74_RwwJ_0446,BxD
BXD53_2RwwJ_0447,BxD
BXD175_0448,BxD
BXD214_0449,BxD
BXD141_0450,BxD
BXD33_TyJ_0451,BxD
BXD184_0452,BxD
BXD038_TyJ_0453,BxD
BXD124_RwwJ_0454,BxD
BXD88_2_RwwJ_0455,BxD
BXD161_RwwJ_0456,BxD
BXD151_0457,BxD
BXD14_TyJ_0458,BxD
BXD114_0459,BxD
BXD67_RwwJ_0460,BxD
BXD61_RwwJ_0461,BxD
BXD68_RwwJ_0462,BxD
BXD83_RwwJ_0463,BxD
BXD12_TyJ_0464,BxD
BXD60_RwwJ_0465,BxD
BXD168_0466,BxD
BXD122_TyJ_0467,BxD
BXD209_0468,BxD
BXD100_RwwJ_0469,BxD
BXD27_TyJ_0470,BxD
BXD42_TyJ_0471,BxD
BXD125_RwwJ_0472,BxD
BXD217_0473,BxD
BXD006_TyJ_0474,BxD
BXD101_RwwJ_0475,BxD
BXD215_0476,BxD
BXD18_TyJ_0477,BxD
BXD39_TyJ_0478,BxD
BXD197_0479,BxD
BXD204_0480,BxD
BXD19_TyJ_0481,BxD
BXD087_RwwJ_0482,BxD
BXD064_RwwJ_0483,BxD
BXD171_0484,BxD
BXD194_redo_0485,BxD
BXD045_RwwJ_0486,BxD
BXD81_RwwJ_0487,BxD
BXD226_0488,BxD
BXD43_RwwJ_0489,BxD
BXD177_0490,BxD
BXD213_0491,BxD
BXD128_0492,BxD
BXD147_0494,BxD
