Record ID: 10507362
Trait URL: http://genenetwork.org/show_trait?trait_id=10507362&dataset=INIA_AmgCoh_0311
Symbol: Mutyh
Dataset: INIA_AmgCoh_0311
Group: BXD

Name,Value,SE
C57BL/6J,7.749,0.048,
DBA/2J,7.65,0.296,
B6D2F1,7.692,0.023,
D2B6F1,7.685,0.016,
BXD1,7.738,0.042,
BXD11,7.575,0.137,
BXD12,7.618,0.092,
BXD14,7.684,0.238,
BXD24,7.77,0.006,
BXD27,7.938,,
BXD29,7.668,0.324,
BXD31,7.636,0.028,
BXD32,7.673,0.165,
BXD34,7.719,0.14,
BXD39,7.693,0.141,
BXD40,7.638,0.107,
BXD42,7.783,0.284,
BXD43,7.788,0.141,
BXD44,7.722,,
BXD45,7.696,0.143,
BXD48,7.771,0.192,
BXD49,7.606,0.168,
BXD50,7.794,0.021,
BXD56,7.601,0.051,
BXD60,7.833,0.192,
BXD62,7.808,0.135,
BXD63,7.666,0.091,
BXD65,7.714,0.011,
BXD65a,7.948,0.315,
BXD65b,7.66,0.071,
BXD68,7.744,0.121,
BXD69,7.758,0.025,
BXD70,7.62,0.03,
BXD71,7.79,0.009,
BXD73,7.732,0.074,
BXD73a,7.78,0.054,
BXD73b,7.658,,
BXD75,7.678,0.227,
BXD79,7.562,0.067,
BXD83,7.656,0.08,
BXD84,7.618,0.079,
BXD85,7.732,0.185,
BXD87,7.799,,
BXD89,7.66,0.137,
BXD90,7.748,0.021,
BXD95,7.631,0.191,
BXD99,7.87,0.005,
BXD100,7.642,,
BXD101,7.805,0.013,
BXD102,7.81,0.168,
