Record ID: 10507362
Trait URL: http://genenetwork.org/show_trait?trait_id=10507362&dataset=UTHSC_GutGL_0414
Symbol: Mutyh
Dataset: UTHSC_GutGL_0414
Group: BXD

Name,Value,SE
C57BL/6J,8.127,0.109,
DBA/2J,8.332,0.102,
B6D2F1,8.287,0.096,
D2B6F1,8.234,0.238,
BXD1,8.236,0.226,
BXD11,8.219,0.113,
BXD12,8.332,0.144,
BXD14,8.288,0.129,
BXD24,8.388,0.039,
BXD27,8.215,0.082,
BXD29,8.124,0.097,
BXD31,8.204,0.221,
BXD32,8.177,0.19,
BXD34,8.368,0.08,
BXD39,8.238,0.093,
BXD40,8.193,0.068,
BXD42,8.396,0.052,
BXD43,8.083,0.07,
BXD44,8.201,0.073,
BXD45,8.015,0.018,
BXD48,8.354,0.03,
BXD49,7.964,,
BXD50,8.305,0.272,
BXD56,8.131,0.098,
BXD60,8.03,0.094,
BXD62,8.153,0.113,
BXD63,8.119,0.129,
BXD65,8.132,0.042,
BXD65a,8.286,0.047,
BXD65b,8.34,0.246,
BXD68,8.264,0.201,
BXD69,8.01,0.348,
BXD70,8.281,0.008,
BXD71,8.386,0.152,
BXD73,8.154,0.126,
BXD73a,7.983,0.033,
BXD73b,7.886,0.221,
BXD75,8.299,0.02,
BXD79,8.089,0.231,
BXD83,8.296,0.025,
BXD84,8.238,0.042,
BXD85,7.948,0.019,
BXD87,8.264,0.131,
BXD89,8.176,0.087,
BXD90,8.4,0.074,
BXD95,8.352,0.128,
BXD99,8.397,0.068,
BXD100,8.216,0.279,
BXD101,8.003,0.175,
BXD102,7.919,0.148,
