Record ID: 1422816_a_at
Trait URL: http://genenetwork.org/show_trait?trait_id=1422816_a_at&dataset=MA_M2_0806_R
Symbol: Mutyh
Dataset: MA_M2_0806_R
Group: BXD

Name,Value,SE
C57BL/6J,7.6,0.12,
DBA/2J,7.759,0.203,
D2B6F1,7.676,0.121,
BXD1,7.647,0.184,
BXD2,7.814,,
BXD5,7.838,0.268,
BXD6,7.713,0.079,
BXD8,7.998,0.051,
BXD9,7.684,0.163,
BXD11,7.721,0.039,
BXD12,7.784,0.247,
BXD13,7.654,0.011,
BXD14,7.562,0.193,
BXD15,7.681,0.057,
BXD16,7.606,0.165,
BXD18,7.609,,
BXD19,7.625,0.121,
BXD20,7.491,0.158,
BXD21,7.682,0.04,
BXD22,7.572,0.066,
BXD23,7.683,0.069,
BXD24,7.724,0.235,
BXD25,7.646,0.127,
BXD27,7.767,0.206,
BXD28,7.732,0.081,
BXD29,7.66,0.091,
BXD31,7.477,0.092,
BXD32,7.605,0.053,
BXD33,7.604,0.065,
BXD36,7.547,0.027,
BXD38,7.752,0.062,
BXD40,7.516,0.123,
BXD43,7.737,0.175,
BXD44,7.78,0.021,
BXD45,7.63,0.046,
BXD48,7.673,0.245,
BXD48a,7.899,0.157,
BXD51,7.84,0.144,
BXD60,7.762,0.219,
BXD61,7.689,0.179,
BXD62,7.712,0.024,
BXD63,7.887,,
BXD65,7.588,,
BXD65b,7.667,0.067,
BXD67,7.734,0.102,
BXD68,7.8,0.143,
BXD69,7.788,0.068,
BXD70,7.702,0.113,
BXD73,7.727,0.103,
BXD73a,7.994,0.218,
BXD75,7.712,0.023,
BXD77,7.667,0.037,
BXD85,7.644,0.009,
BXD86,7.61,0.095,
BXD87,7.729,0.14,
BXD90,7.741,,
C57BL/6J,7.6,0.12,
DBA/2J,7.759,0.203,
D2B6F1,7.676,0.121,
BTBRT<+>tf/J,7.696,0.182,
BXSB/MpJ,7.785,0.104,
C3H/HeJ,7.677,0.054,
C57BL/6ByJ,7.671,0.115,
CAST/EiJ,7.674,0.185,
KK/HlJ,7.742,0.064,
MOLF/EiJ,7.7,0.151,
NOD/ShiLtJ,7.745,0.095,
NZB/BlNJ,7.881,0.049,
NZW/LacJ,7.973,0.127,
PWD/PhJ,7.638,0.035,
PWK/PhJ,7.823,0.107,
WSB/EiJ,7.854,0.083,
