Record ID: ENSMUST00000102699
Trait URL: http://genenetwork.org/show_trait?trait_id=ENSMUST00000102699&dataset=UTHSC-BXD-Harv_Liv_TPM_log2_1019
Symbol: Mutyh
Dataset: UTHSC-BXD-Harv_Liv_TPM_log2_1019
Group: BXD

Name,Value,SE
C57BL/6J,0.363,0.032,
DBA/2J,0.087,0.028,
B6D2F1,0.258,0.037,
D2B6F1,0.146,0.043,
BXD9,0.417,0.235,
BXD24,0.329,0.03,
BXD27,0.079,0.048,
BXD29,0.182,0.028,
BXD32,0.126,0.038,
BXD34,0.402,0.058,
BXD39,0.37,0.091,
BXD40,0.18,0.052,
BXD43,0.284,0.1,
BXD44,0.326,0.032,
BXD45,0.207,0.05,
BXD48,0.12,0.046,
BXD48a,0.325,0.057,
BXD49,0.423,0.107,
BXD50,0.112,,
BXD51,0.326,0.05,
BXD53,0.074,0.002,
BXD55,0.276,,
BXD56,0.207,,
BXD60,0.107,0.051,
BXD61,0.263,0.045,
BXD62,0.332,0.039,
BXD63,0.14,0.019,
BXD64,0.12,0.046,
BXD65,0.213,0.081,
BXD65b,0.142,0.075,
BXD66,0.261,0.047,
BXD67,0.608,0.333,
BXD68,0.631,,
BXD69,0.155,0.044,
BXD70,0.122,0.022,
BXD73,0.142,0.02,
BXD73b,0.092,0.017,
BXD74,0.225,,
BXD75,0.229,0.054,
BXD77,0.354,0.174,
BXD79,0.156,0.043,
BXD83,0.308,,
BXD84,0.432,0.13,
BXD86,0.097,0.08,
BXD87,0.133,0.014,
BXD89,0.167,0.051,
BXD90,0.223,0.051,
BXD91,0.311,0.005,
BXD95,0.491,0.123,
BXD98,0.12,0.082,
BXD99,0.191,0.03,
BXD100,0.229,0.022,
BXD101,0.192,0.069,
BXD102,0.174,0.025,
