Record ID: 17417530
Trait URL: http://genenetwork.org/show_trait?trait_id=17417530&dataset=DoDCMMRPRetMoGene2_0515
Symbol: Mutyh
Dataset: DoDCMMRPRetMoGene2_0515
Group: BXD

Name,Value,SE
C57BL/6J,8.283,0.063,
DBA/2J,8.047,0.032,
B6D2F1,8.245,0.106,
BXD1,8.031,0.052,
BXD2,8.286,0.085,
BXD5,7.862,0.11,
BXD6,8.047,0.044,
BXD8,8.02,0.175,
BXD9,8.204,0.069,
BXD11,8.181,0.053,
BXD12,8.088,0.099,
BXD13,8.187,0.097,
BXD14,8.203,0.056,
BXD15,8.196,0.061,
BXD16,8.011,0.017,
BXD18,8.162,0.12,
BXD19,8.175,0.064,
BXD20,8.296,0.041,
BXD21,8.216,0.059,
BXD22,8.14,0.086,
BXD27,8,0.167,
BXD28,7.79,0.094,
BXD29,7.854,0.107,
BXD31,8.055,0.098,
BXD33,7.694,0.047,
BXD34,8.05,0.146,
BXD36,7.823,0.068,
BXD38,8.117,0.08,
BXD39,8.188,0.046,
BXD40,7.873,0.102,
BXD42,8.009,0.068,
BXD43,7.963,0.016,
BXD48,8.164,0.025,
BXD48a,8.181,0.093,
BXD50,8.123,0.018,
BXD51,7.957,0.058,
BXD56,7.926,0.053,
BXD60,8.036,0.083,
BXD63,8.126,0.027,
BXD65,8.07,0.028,
BXD65b,7.843,0.168,
BXD67,7.961,0.045,
BXD69,7.955,0.054,
BXD71,7.862,0.066,
BXD73,7.895,0.123,
BXD75,7.99,0.176,
BXD84,7.974,0.13,
BXD85,7.875,0.058,
BXD86,8.033,0.103,
BXD87,8.174,0.067,
BXD90,8.034,0.031,
BXD99,7.862,0.079,
BXD100,8.03,0.092,
BXD101,8.117,0.062,
BXD102,8.175,0.036,
