,AAA>ATA,AAA>ACA,AAA>AGA,AAT>ATT,AAT>ACT,AAT>AGT,AAC>ATC,AAC>ACC,AAC>AGC,AAG>ATG,AAG>ACG,AAG>AGG,TAT>TTT,TAT>TGT,TAT>TCT,GAT>GTT,GAT>GGT,GAT>GCT,CAT>CTT,CAT>CGT,CAT>CCT,ACA>AAA,ACA>ATA,ACA>AGA,ACT>AAT,ACT>ATT,ACT>AGT,ACC>AAC,ACC>ATC,ACC>AGC,ACG>AAG,ACG>ATG,ACG>AGG,TCT>TTT,TCT>TAT,TCT>TGT,GCT>GTT,GCT>GAT,GCT>GGT,CCT>CTT,CCT>CAT,CCT>CGT,TAA>TTA,TAA>TCA,TAA>TGA,TAC>TTC,TAC>TCC,TAC>TGC,TAG>TTG,TAG>TCG,TAG>TGG,GAA>GTA,GAA>GGA,GAA>GCA,CAA>CTA,CAA>CGA,CAA>CCA,TCA>TAA,TCA>TTA,TCA>TGA,TCC>TAC,TCC>TTC,TCC>TGC,TCG>TAG,TCG>TTG,TCG>TGG,GCA>GTA,GCA>GAA,GCA>GGA,CCA>CTA,CCA>CAA,CCA>CGA,CAC>CTC,CAC>CCC,CAC>CGC,CAG>CTG,CAG>CCG,CAG>CGG,GAG>GTG,GAG>GGG,GAG>GCG,CCC>CAC,CCC>CTC,CCC>CGC,CCG>CAG,CCG>CTG,CCG>CGG,GCG>GTG,GCG>GAG,GCG>GGG,GAC>GTC,GAC>GCC,GAC>GGC,GCC>GAC,GCC>GTC,GCC>GGC
Mmc_CAST10_H36.variant8,418,474,899,522,399,1534,350,306,1206,438,511,783,564,1385,290,364,969,204,568,1274,306,991,4143,538,690,2652,525,689,2115,310,179,2755,141,3034,824,529,2467,753,355,2935,621,296,429,249,661,446,192,783,334,223,644,262,899,199,270,593,264,700,2708,315,632,3144,298,143,2032,103,2351,880,298,3250,765,308,449,303,731,544,346,927,366,752,297,635,2537,236,170,2521,123,1845,188,98,320,137,975,563,2090,266
Mmc_CAST1_H12.variant8,436,496,825,588,386,1597,376,274,1059,450,417,747,536,1393,251,322,907,209,555,1338,291,966,3940,476,605,2484,500,663,2047,294,154,2409,115,2947,862,549,2320,708,335,2522,634,282,441,210,657,414,183,787,326,180,568,299,916,182,280,588,246,659,2421,288,573,2887,284,136,1730,119,2151,887,278,2959,679,262,387,287,709,509,324,905,386,693,263,534,2272,220,156,2154,123,1587,184,81,319,158,949,523,1973,257
Mmc_CAST2_H14.variant8,457,467,784,549,368,1502,383,276,1090,416,413,760,538,1343,260,335,872,173,503,1265,286,972,3757,526,661,2395,532,680,1937,272,140,2268,140,2767,861,532,2161,736,337,2494,578,309,475,239,623,386,159,796,350,213,602,254,869,166,219,517,271,678,2486,337,573,2811,278,137,1718,115,2131,878,266,2844,687,246,374,255,590,474,289,783,323,646,220,516,2167,203,151,2010,99,1527,160,78,312,135,882,531,1850,253
Mmc_CAST3_H15.variant8,323,362,613,416,300,1224,271,226,895,331,301,574,412,1083,218,287,756,184,421,957,251,829,3289,452,519,2035,431,513,1730,236,126,2220,127,2493,696,448,2009,618,304,2311,537,218,374,200,531,336,143,622,309,139,504,221,695,144,201,435,218,551,2104,276,464,2514,223,125,1560,102,1902,748,222,2552,570,205,348,239,503,383,248,733,302,549,175,467,1932,183,130,1843,96,1395,146,85,259,137,730,459,1659,222
Mmc_CAST4_H24.variant8,357,342,622,448,326,1216,263,205,815,339,251,579,454,1086,189,283,733,144,402,842,199,766,2901,417,533,1838,337,483,1446,200,119,1665,80,2207,732,381,1569,522,260,1845,446,175,347,193,520,302,140,595,283,122,432,204,604,157,200,381,181,556,1962,270,418,2059,215,94,1184,85,1555,661,200,2014,538,148,282,211,399,346,227,511,282,461,149,353,1487,127,117,1330,62,982,96,38,210,110,632,345,1292,178
Mmc_CAST5_H26.variant8,377,343,635,420,268,1192,255,195,836,331,305,559,460,1070,197,243,701,151,418,985,228,778,3132,428,528,1918,375,477,1523,213,120,1916,99,2141,642,434,1797,584,261,2109,525,233,320,161,483,275,138,596,274,150,444,225,667,140,205,410,205,556,2015,236,445,2321,208,84,1363,89,1667,690,234,2359,480,194,352,222,477,333,245,671,267,461,168,423,1807,184,135,1702,82,1297,133,51,249,102,704,418,1536,203
Mmc_CAST6_H27.variant8,290,294,538,366,228,949,241,151,764,269,256,503,374,949,186,241,593,153,331,788,203,676,2626,362,421,1657,332,440,1429,200,96,1739,68,1915,528,349,1614,487,244,1915,379,199,286,156,402,284,110,521,237,114,375,170,540,115,160,325,169,454,1719,212,406,1952,180,86,1208,73,1540,534,212,2158,492,185,254,199,400,304,200,522,241,429,125,376,1563,130,104,1517,88,1188,121,55,205,113,630,354,1344,160
Mmc_CAST7_H28.variant8,367,366,693,467,312,1278,313,229,942,341,322,641,470,1124,213,278,747,173,423,1033,247,757,3179,450,515,2003,429,527,1681,225,127,1992,82,2394,724,451,1914,597,287,2115,504,212,391,191,504,362,170,683,309,142,475,252,680,129,226,428,236,548,2165,270,484,2404,233,102,1493,87,1859,763,253,2429,555,219,334,248,522,388,251,692,308,556,192,420,1891,149,146,1674,86,1317,120,64,288,115,768,420,1546,204
Mmc_CAST8_H30.variant8,450,482,916,567,381,1531,358,289,1101,423,443,796,563,1388,258,344,940,212,568,1388,338,1010,4053,545,664,2510,508,687,2200,287,172,2596,155,3033,885,559,2454,754,369,2821,636,335,465,246,638,415,188,814,344,192,589,306,910,186,255,571,305,703,2727,308,607,3094,272,141,1956,121,2446,946,281,3189,769,296,423,309,679,490,333,976,406,724,264,564,2501,263,159,2404,161,1851,187,80,307,148,930,547,2101,281
Mmc_CAST9_H34.variant8,422,432,817,505,378,1386,297,252,1022,428,367,717,551,1294,224,323,868,207,486,1180,287,999,3676,517,615,2292,480,634,1878,276,149,2256,131,2645,797,544,2090,729,318,2459,564,306,482,197,596,346,157,758,309,172,523,261,832,170,253,473,223,675,2410,337,576,2767,279,118,1703,105,2030,822,301,2784,658,237,399,241,575,427,265,776,327,655,217,536,2154,192,142,1981,92,1498,153,78,257,137,839,492,1737,217
